app_id,label_flag,label_flag_type,privacy_flag,privacy_flag_type,if_equal
com.farlex.dictionary.hebrew,1,,1,,
com.aroma.flowers,1,,1,,
com.mods.maps.mine,1,,1,,
com.noxgames.mage.hero,1,,1,,
com.dominigames.chr5,1,,1,,
ae.etisalat.smiles,1,,1,,
com.probadosoft.splitbills,1,,1,,
com.free.screenrecorder.videoeditor,1,,1,,
com.zxaeclub.puzzle.tiletrek,1,,1,,
com.kwalee.gofish1,1,,1,,
com.yasapets.hotel,1,,1,,
com.watchfacestudio.dadam75,1,,1,,
com.facer.O0wz60PQmx,1,,1,,
com.newbackground.cutewallpaperhdforgirl,1,,1,,
com.drawingapp.ardrawing.trace.draw,1,,1,,
com.tartar.strongestwifi,1,,1,,
com.bigcake.jigsaw.puzzles,1,,1,,
net.kayisoft.colorsmash,1,,1,,
com.cleverapps.wondermerge,1,,1,,
com.gamma.scan2,1,,1,,
com.vanniyarshaadi.android,1,,1,,
com.playside.dwtd3,1,,1,,
com.w2sv.wifiwidget,1,,1,,
com.zerofour.turboleague,1,,1,,
com.doll.tinydoll,1,,1,,
co.tapcart.app.id_eO9ZkSh1rG,1,,1,,
cyber.security.learn.programming.coding.hacking.software.development.cybersecurity,1,,1,,
com.wave.keyboard.theme.snakeattackanimatedkeyboard,1,,1,,
com.jacobsmedia.wiyy,1,,1,,
com.yb.allinone,1,,1,,
com.hp.life,1,,1,,
com.swash.transitworld.brusssels,1,,1,,
com.watchfacestudio.samwatch_pointcolor_6_2021,1,,1,,
com.watchfacestudio.Obliqueliquidcrystal,1,,1,,
com.watchfacestudio.watchfaceE4,1,,1,,
com.fgcos.crossword_es_crucigrama,1,,1,,
com.nbmedia.mood,1,,1,,
com.utorrent.client,1,,1,,
com.ikeyboard.theme.romanticbeach2,1,,1,,
com.cscmobi.cooking.tour,1,,1,,
com.tbegames.and.food_words_cat_puzzle,1,,1,,
com.highsecure.bloodpressure.heartrate.tracker,1,,1,,
com.recreative.reseasonal39,1,,1,,
com.playdatedigital.mlpmovie,1,,1,,
com.jettoast.kukulu,1,,1,,
com.dingogames.clumsycat,1,,1,,
com.gamestar.xdrum,1,,1,,
com.yalintech.mylocationtracker,1,,1,,
com.tvremote.remotecontrol.ac.universal,1,,1,,
com.hyperfun.christmas.games,1,,1,,
com.food.maker.cooking.games,1,,1,,
com.mytheresa.app.mytheresa,1,,1,,
com.OneLife2Care.TyphoidHelp,1,,1,,
com.hg.ttdotm,1,,1,,
com.tcm.morningquotes.wishes.message.lovequotes,1,,1,,
net.zedge.glaad,1,,1,,
com.mahjong.free.freemahjong.classic,1,,1,,
com.actiontourguide.carlsbad,1,,1,,
com.stoneaxe.CatchAndShoot,1,,1,,
com.watchfacestudio.perpetual2.activedesign,1,,1,,
maxplayer.video.videoplayer,1,,1,,
com.gw.dblocks,1,,1,,
com.watchfacestudio.lucid_dark,1,,1,,
com.tvisuals.tvvhappyholidays,1,,1,,
com.appswing.qr.barcodescanner.barcodereader,1,,1,,
com.geda.noithu,1,,1,,
com.funeasylearn.phrasebook.arabic,1,,1,,
draw.onepart.love.story.puzzle.games.dop,1,,1,,
jatrix.wear.starfield,1,,1,,
com.watchfacestudio.FaceGear,1,,1,,
com.simulation.fluid.wallpaper.magicfluid.live,1,,1,,
com.playbest.zzxy.ea,1,,1,,
com.geda.zombiesmasher,1,,1,,
ie.zappy.fennec.healthworkschiroprac,1,,1,,
com.hollowdogs.stonegrinder,1,,1,,
games.neverold.block.puzzle.gem.jewel,1,,1,,
com.herocraft.game.treasuresofthedeep,1,,1,,
com.watchfacestudio.db038digitalsport,1,,1,,
com.twelvegigs.heaven.vpoker,1,,1,,
com.futurecodes.breadrecipes,1,,1,,
com.q8.flowers.app,1,,1,,
jp.co.recruit.shifop,1,,1,,
com.n11.selleroffice,1,,1,,
com.logistics.rider.yemeksepeti,1,,1,,
huskydev.android.watchface.cutedogfree,1,,1,,
com.ooma.office2,1,,1,,
com.uptime,1,,1,,
sky.adventure.ballgame,1,,1,,
com.mobirix.ttm,1,,1,,
com.noodlecake.ssg2,1,,1,,
mytown.hotel.free,1,,1,,
com.my.tizi.interior.home.decorating.house.decor.design.decoration.games,1,,1,,
com.amoledwatchfaces.basicAnalog,1,,1,,
com.chat.gpt.ai.assistant,1,,1,,
com.zingplay.dummy,1,,1,,
com.ifirstaid,1,,1,,
com.frvr.kickup,1,,1,,
com.kevinbradford.games.byanimals,1,,1,,
com.brainup.thinkoutside,1,,1,,
com.xsdev.casttv.castforchromecast.screen.cast,1,,1,,
com.YovoGames.magicBook,1,,1,,
com.watchfacestudio.animateddigitalradar,1,,1,,
com.weloadin.dessertdiy,1,,1,,
com.appon.ludo,1,,1,,
